"species","fam_links","VirusFamily","association","status","new_links","gen","fam","clade","MSW3_sciName_matched","tip"
"Acerodon celebensis","Acerodon celebensis-adamaviridae","adamaviridae",NA,0,"Acerodon celebensis-adamaviridae","Acerodon","PTEROPODIDAE","Yinpterochiroptera","Acerodon_celebensis","Acerodon_celebensis"
"Acerodon celebensis","Acerodon celebensis-adenoviridae","adenoviridae",NA,0,"Acerodon celebensis-adenoviridae","Acerodon","PTEROPODIDAE","Yinpterochiroptera","Acerodon_celebensis","Acerodon_celebensis"
"Acerodon celebensis","Acerodon celebensis-adintoviridae","adintoviridae",NA,0,"Acerodon celebensis-adintoviridae","Acerodon","PTEROPODIDAE","Yinpterochiroptera","Acerodon_celebensis","Acerodon_celebensis"
"Acerodon celebensis","Acerodon celebensis-anelloviridae","anelloviridae",NA,0,"Acerodon celebensis-anelloviridae","Acerodon","PTEROPODIDAE","Yinpterochiroptera","Acerodon_celebensis","Acerodon_celebensis"
"Acerodon celebensis","Acerodon celebensis-arenaviridae","arenaviridae",NA,0,"Acerodon celebensis-arenaviridae","Acerodon","PTEROPODIDAE","Yinpterochiroptera","Acerodon_celebensis","Acerodon_celebensis"
"Acerodon celebensis","Acerodon celebensis-artoviridae","artoviridae",NA,0,"Acerodon celebensis-artoviridae","Acerodon","PTEROPODIDAE","Yinpterochiroptera","Acerodon_celebensis","Acerodon_celebensis"
"Acerodon celebensis","Acerodon celebensis-astroviridae","astroviridae",1,1,"Acerodon celebensis-astroviridae","Acerodon","PTEROPODIDAE","Yinpterochiroptera","Acerodon_celebensis","Acerodon_celebensis"
"Acerodon celebensis","Acerodon celebensis-birnaviridae","birnaviridae",NA,0,"Acerodon celebensis-birnaviridae","Acerodon","PTEROPODIDAE","Yinpterochiroptera","Acerodon_celebensis","Acerodon_celebensis"
"Acerodon celebensis","Acerodon celebensis-bornaviridae","bornaviridae",NA,0,"Acerodon celebensis-bornaviridae","Acerodon","PTEROPODIDAE","Yinpterochiroptera","Acerodon_celebensis","Acerodon_celebensis"
"Acerodon celebensis","Acerodon celebensis-botourmiaviridae","botourmiaviridae",NA,0,"Acerodon celebensis-botourmiaviridae","Acerodon","PTEROPODIDAE","Yinpterochiroptera","Acerodon_celebensis","Acerodon_celebensis"
