"fam_links","Host","VirusFamily"
"Acerodon celebensis-orthomyxoviridae","Acerodon celebensis","orthomyxoviridae"
"Acerodon celebensis-coronaviridae","Acerodon celebensis","coronaviridae"
"Anoura caudifer-adenoviridae","Anoura caudifer","adenoviridae"
"Anoura caudifer-coronaviridae","Anoura caudifer","coronaviridae"
"Artibeus jamaicensis-coronaviridae","Artibeus jamaicensis","coronaviridae"
"Artibeus lituratus-coronaviridae","Artibeus lituratus","coronaviridae"
"Artibeus lituratus-paramyxoviridae","Artibeus lituratus","paramyxoviridae"
"Artibeus obscurus-adenoviridae","Artibeus obscurus","adenoviridae"
"Artibeus obscurus-coronaviridae","Artibeus obscurus","coronaviridae"
"Artibeus obscurus-orthomyxoviridae","Artibeus obscurus","orthomyxoviridae"
"Artibeus obscurus-hantaviridae","Artibeus obscurus","hantaviridae"
"Artibeus planirostris-coronaviridae","Artibeus planirostris","coronaviridae"
"Aselliscus stoliczkanus-coronaviridae","Aselliscus stoliczkanus","coronaviridae"
"Bauerus dubiaquercus-coronaviridae","Bauerus dubiaquercus","coronaviridae"
"Carollia perspicillata-adenoviridae","Carollia perspicillata","adenoviridae"
"Carollia perspicillata-coronaviridae","Carollia perspicillata","coronaviridae"
"Carollia perspicillata-hantaviridae","Carollia perspicillata","hantaviridae"
"Carollia sowelli-coronaviridae","Carollia sowelli","coronaviridae"
"Carollia sowelli-hantaviridae","Carollia sowelli","hantaviridae"
"Coleura afra-paramyxoviridae","Coleura afra","paramyxoviridae"
"Coleura afra-polyomaviridae","Coleura afra","polyomaviridae"
"Cynopterus brachyotis-coronaviridae","Cynopterus brachyotis","coronaviridae"
"Cynopterus horsfieldii-coronaviridae","Cynopterus horsfieldii","coronaviridae"
"Cynopterus sphinx-coronaviridae","Cynopterus sphinx","coronaviridae"
"Dermanura phaeotis-coronaviridae","Dermanura phaeotis","coronaviridae"
"Dermanura phaeotis-paramyxoviridae","Dermanura phaeotis","paramyxoviridae"
"Doryrhina cyclops-adenoviridae","Doryrhina cyclops","adenoviridae"
"Dyacopterus spadiceus-coronaviridae","Dyacopterus spadiceus","coronaviridae"
"Eidolon helvum-adenoviridae","Eidolon helvum","adenoviridae"
"Eidolon helvum-coronaviridae","Eidolon helvum","coronaviridae"
"Eidolon helvum-paramyxoviridae","Eidolon helvum","paramyxoviridae"
"Eidolon helvum-orthomyxoviridae","Eidolon helvum","orthomyxoviridae"
"Eonycteris spelaea-coronaviridae","Eonycteris spelaea","coronaviridae"
"Epomophorus gambianus-adenoviridae","Epomophorus gambianus","adenoviridae"
"Epomophorus gambianus-coronaviridae","Epomophorus gambianus","coronaviridae"
"Epomophorus labiatus-coronaviridae","Epomophorus labiatus","coronaviridae"
"Epomophorus pusillus-adenoviridae","Epomophorus pusillus","adenoviridae"
"Epomophorus pusillus-coronaviridae","Epomophorus pusillus","coronaviridae"
"Epomops buettikoferi-coronaviridae","Epomops buettikoferi","coronaviridae"
"Epomops franqueti-adenoviridae","Epomops franqueti","adenoviridae"
"Epomops franqueti-coronaviridae","Epomops franqueti","coronaviridae"
"Glauconycteris variegata-coronaviridae","Glauconycteris variegata","coronaviridae"
"Glossophaga soricina-adenoviridae","Glossophaga soricina","adenoviridae"
"Glossophaga soricina-coronaviridae","Glossophaga soricina","coronaviridae"
"Glossophaga soricina-togaviridae","Glossophaga soricina","togaviridae"
"Hipposideros armiger-astroviridae","Hipposideros armiger","astroviridae"
"Hipposideros armiger-paramyxoviridae","Hipposideros armiger","paramyxoviridae"
"Hipposideros armiger-coronaviridae","Hipposideros armiger","coronaviridae"
"Hipposideros bicolor-coronaviridae","Hipposideros bicolor","coronaviridae"
"Hipposideros caffer-adenoviridae","Hipposideros caffer","adenoviridae"
"Hipposideros caffer-coronaviridae","Hipposideros caffer","coronaviridae"
"Hipposideros caffer-paramyxoviridae","Hipposideros caffer","paramyxoviridae"
"Hipposideros caffer-polyomaviridae","Hipposideros caffer","polyomaviridae"
"Hipposideros cervinus-paramyxoviridae","Hipposideros cervinus","paramyxoviridae"
"Hipposideros diadema-adenoviridae","Hipposideros diadema","adenoviridae"
"Hipposideros diadema-coronaviridae","Hipposideros diadema","coronaviridae"
"Hipposideros diadema-paramyxoviridae","Hipposideros diadema","paramyxoviridae"
"Hipposideros galeritus-adenoviridae","Hipposideros galeritus","adenoviridae"
"Hipposideros galeritus-coronaviridae","Hipposideros galeritus","coronaviridae"
"Hipposideros galeritus-paramyxoviridae","Hipposideros galeritus","paramyxoviridae"
"Hipposideros larvatus-coronaviridae","Hipposideros larvatus","coronaviridae"
"Hipposideros larvatus-astroviridae","Hipposideros larvatus","astroviridae"
"Hipposideros larvatus-paramyxoviridae","Hipposideros larvatus","paramyxoviridae"
"Hipposideros lekaguli-astroviridae","Hipposideros lekaguli","astroviridae"
"Hipposideros lekaguli-coronaviridae","Hipposideros lekaguli","coronaviridae"
"Hipposideros lekaguli-paramyxoviridae","Hipposideros lekaguli","paramyxoviridae"
"Hipposideros pomona-coronaviridae","Hipposideros pomona","coronaviridae"
"Hipposideros pratti-coronaviridae","Hipposideros pratti","coronaviridae"
"Hipposideros ruber-coronaviridae","Hipposideros ruber","coronaviridae"
"Hipposideros ruber-paramyxoviridae","Hipposideros ruber","paramyxoviridae"
"Hypsignathus monstrosus-adenoviridae","Hypsignathus monstrosus","adenoviridae"
"Ia io-astroviridae","Ia io","astroviridae"
"Ia io-paramyxoviridae","Ia io","paramyxoviridae"
"Ia io-coronaviridae","Ia io","coronaviridae"
"Lichonycteris obscura-coronaviridae","Lichonycteris obscura","coronaviridae"
