"","fam_links","Host","VirusFamily","association","status"
"1","Acerodon celebensis-adamaviridae","Acerodon celebensis","adamaviridae",NA,0
"2","Acerodon celebensis-adenoviridae","Acerodon celebensis","adenoviridae",NA,0
"3","Acerodon celebensis-adintoviridae","Acerodon celebensis","adintoviridae",NA,0
"4","Acerodon celebensis-anelloviridae","Acerodon celebensis","anelloviridae",NA,0
"5","Acerodon celebensis-arenaviridae","Acerodon celebensis","arenaviridae",NA,0
"6","Acerodon celebensis-artoviridae","Acerodon celebensis","artoviridae",NA,0
"7","Acerodon celebensis-astroviridae","Acerodon celebensis","astroviridae",1,1
"8","Acerodon celebensis-birnaviridae","Acerodon celebensis","birnaviridae",NA,0
"9","Acerodon celebensis-bornaviridae","Acerodon celebensis","bornaviridae",NA,0
"10","Acerodon celebensis-botourmiaviridae","Acerodon celebensis","botourmiaviridae",NA,0
"11","Acerodon celebensis-caliciviridae","Acerodon celebensis","caliciviridae",NA,0
"12","Acerodon celebensis-chuviridae","Acerodon celebensis","chuviridae",NA,0
"13","Acerodon celebensis-circoviridae","Acerodon celebensis","circoviridae",NA,0
"14","Acerodon celebensis-coronaviridae","Acerodon celebensis","coronaviridae",1,1
"15","Acerodon celebensis-filoviridae","Acerodon celebensis","filoviridae",NA,0
"16","Acerodon celebensis-flaviviridae","Acerodon celebensis","flaviviridae",NA,0
"17","Acerodon celebensis-geminiviridae","Acerodon celebensis","geminiviridae",NA,0
"18","Acerodon celebensis-genomoviridae","Acerodon celebensis","genomoviridae",NA,0
"19","Acerodon celebensis-hantaviridae","Acerodon celebensis","hantaviridae",NA,0
"20","Acerodon celebensis-hepadnaviridae","Acerodon celebensis","hepadnaviridae",NA,0
"21","Acerodon celebensis-hepeviridae","Acerodon celebensis","hepeviridae",NA,0
"22","Acerodon celebensis-kolmioviridae","Acerodon celebensis","kolmioviridae",NA,0
"23","Acerodon celebensis-mahapunaviridae","Acerodon celebensis","mahapunaviridae",NA,0
"24","Acerodon celebensis-matonaviridae","Acerodon celebensis","matonaviridae",NA,0
"25","Acerodon celebensis-nairoviridae","Acerodon celebensis","nairoviridae",NA,0
"26","Acerodon celebensis-nodaviridae","Acerodon celebensis","nodaviridae",NA,0
"27","Acerodon celebensis-nyamiviridae","Acerodon celebensis","nyamiviridae",NA,0
"28","Acerodon celebensis-orthoherpesviridae","Acerodon celebensis","orthoherpesviridae",1,1
"29","Acerodon celebensis-orthomyxoviridae","Acerodon celebensis","orthomyxoviridae",1,1
"30","Acerodon celebensis-papillomaviridae","Acerodon celebensis","papillomaviridae",NA,0
"31","Acerodon celebensis-paramyxoviridae","Acerodon celebensis","paramyxoviridae",NA,0
"32","Acerodon celebensis-partitiviridae","Acerodon celebensis","partitiviridae",NA,0
"33","Acerodon celebensis-parvoviridae","Acerodon celebensis","parvoviridae",NA,0
"34","Acerodon celebensis-peribunyaviridae","Acerodon celebensis","peribunyaviridae",NA,0
"35","Acerodon celebensis-phenuiviridae","Acerodon celebensis","phenuiviridae",NA,0
"36","Acerodon celebensis-picobirnaviridae","Acerodon celebensis","picobirnaviridae",NA,0
"37","Acerodon celebensis-picornaviridae","Acerodon celebensis","picornaviridae",NA,0
"38","Acerodon celebensis-polyomaviridae","Acerodon celebensis","polyomaviridae",1,1
"39","Acerodon celebensis-poxviridae","Acerodon celebensis","poxviridae",NA,0
"40","Acerodon celebensis-qinviridae","Acerodon celebensis","qinviridae",NA,0
"41","Acerodon celebensis-retroviridae","Acerodon celebensis","retroviridae",NA,0
"42","Acerodon celebensis-rhabdoviridae","Acerodon celebensis","rhabdoviridae",NA,0
"43","Acerodon celebensis-sedoreoviridae","Acerodon celebensis","sedoreoviridae",NA,0
"44","Acerodon celebensis-smacoviridae","Acerodon celebensis","smacoviridae",NA,0
"45","Acerodon celebensis-spinareoviridae","Acerodon celebensis","spinareoviridae",1,1
"46","Acerodon celebensis-togaviridae","Acerodon celebensis","togaviridae",NA,0
"47","Acerodon celebensis-totiviridae","Acerodon celebensis","totiviridae",NA,0
"48","Acerodon celebensis-tymoviridae","Acerodon celebensis","tymoviridae",NA,0
"49","Anoura caudifer-adamaviridae","Anoura caudifer","adamaviridae",NA,0
"50","Anoura caudifer-adenoviridae","Anoura caudifer","adenoviridae",1,1
"51","Anoura caudifer-adintoviridae","Anoura caudifer","adintoviridae",NA,0
"52","Anoura caudifer-anelloviridae","Anoura caudifer","anelloviridae",NA,0
"53","Anoura caudifer-arenaviridae","Anoura caudifer","arenaviridae",NA,0
"54","Anoura caudifer-artoviridae","Anoura caudifer","artoviridae",NA,0
"55","Anoura caudifer-astroviridae","Anoura caudifer","astroviridae",1,1
"56","Anoura caudifer-birnaviridae","Anoura caudifer","birnaviridae",NA,0
"57","Anoura caudifer-bornaviridae","Anoura caudifer","bornaviridae",NA,0
"58","Anoura caudifer-botourmiaviridae","Anoura caudifer","botourmiaviridae",NA,0
"59","Anoura caudifer-caliciviridae","Anoura caudifer","caliciviridae",NA,0
"60","Anoura caudifer-chuviridae","Anoura caudifer","chuviridae",NA,0
"61","Anoura caudifer-circoviridae","Anoura caudifer","circoviridae",NA,0
"62","Anoura caudifer-coronaviridae","Anoura caudifer","coronaviridae",1,1
"63","Anoura caudifer-filoviridae","Anoura caudifer","filoviridae",NA,0
"64","Anoura caudifer-flaviviridae","Anoura caudifer","flaviviridae",NA,0
"65","Anoura caudifer-geminiviridae","Anoura caudifer","geminiviridae",NA,0
"66","Anoura caudifer-genomoviridae","Anoura caudifer","genomoviridae",NA,0
"67","Anoura caudifer-hantaviridae","Anoura caudifer","hantaviridae",NA,0
"68","Anoura caudifer-hepadnaviridae","Anoura caudifer","hepadnaviridae",NA,0
"69","Anoura caudifer-hepeviridae","Anoura caudifer","hepeviridae",NA,0
"70","Anoura caudifer-kolmioviridae","Anoura caudifer","kolmioviridae",NA,0
"71","Anoura caudifer-mahapunaviridae","Anoura caudifer","mahapunaviridae",NA,0
"72","Anoura caudifer-matonaviridae","Anoura caudifer","matonaviridae",NA,0
"73","Anoura caudifer-nairoviridae","Anoura caudifer","nairoviridae",NA,0
"74","Anoura caudifer-nodaviridae","Anoura caudifer","nodaviridae",NA,0
"75","Anoura caudifer-nyamiviridae","Anoura caudifer","nyamiviridae",NA,0
"76","Anoura caudifer-orthoherpesviridae","Anoura caudifer","orthoherpesviridae",NA,0
"77","Anoura caudifer-orthomyxoviridae","Anoura caudifer","orthomyxoviridae",NA,0
"78","Anoura caudifer-papillomaviridae","Anoura caudifer","papillomaviridae",NA,0
"79","Anoura caudifer-paramyxoviridae","Anoura caudifer","paramyxoviridae",NA,0
"80","Anoura caudifer-partitiviridae","Anoura caudifer","partitiviridae",NA,0
"81","Anoura caudifer-parvoviridae","Anoura caudifer","parvoviridae",NA,0
"82","Anoura caudifer-peribunyaviridae","Anoura caudifer","peribunyaviridae",NA,0
"83","Anoura caudifer-phenuiviridae","Anoura caudifer","phenuiviridae",NA,0
"84","Anoura caudifer-picobirnaviridae","Anoura caudifer","picobirnaviridae",NA,0
"85","Anoura caudifer-picornaviridae","Anoura caudifer","picornaviridae",NA,0
"86","Anoura caudifer-polyomaviridae","Anoura caudifer","polyomaviridae",NA,0
"87","Anoura caudifer-poxviridae","Anoura caudifer","poxviridae",NA,0
"88","Anoura caudifer-qinviridae","Anoura caudifer","qinviridae",NA,0
"89","Anoura caudifer-retroviridae","Anoura caudifer","retroviridae",NA,0
"90","Anoura caudifer-rhabdoviridae","Anoura caudifer","rhabdoviridae",NA,0
"91","Anoura caudifer-sedoreoviridae","Anoura caudifer","sedoreoviridae",NA,0
"92","Anoura caudifer-smacoviridae","Anoura caudifer","smacoviridae",NA,0
"93","Anoura caudifer-spinareoviridae","Anoura caudifer","spinareoviridae",NA,0
"94","Anoura caudifer-togaviridae","Anoura caudifer","togaviridae",NA,0
"95","Anoura caudifer-totiviridae","Anoura caudifer","totiviridae",NA,0
