"sp_links","Host","Virus","VirusFamily","zoonotic","fam_links"
"Acerodon celebensis-influenza a virus","Acerodon celebensis","influenza a virus","orthomyxoviridae",1,"Acerodon celebensis-orthomyxoviridae"
"Acerodon celebensis-rousettus bat coronavirus hku9","Acerodon celebensis","rousettus bat coronavirus hku9","coronaviridae",0,"Acerodon celebensis-coronaviridae"
"Anoura caudifer-adenovirus predict_adv-16","Anoura caudifer","adenovirus predict_adv-16","adenoviridae",0,"Anoura caudifer-adenoviridae"
"Anoura caudifer-coronavirus predict cov-12","Anoura caudifer","coronavirus predict cov-12","coronaviridae",0,"Anoura caudifer-coronaviridae"
"Artibeus jamaicensis-coronavirus mex_cov-4","Artibeus jamaicensis","coronavirus mex_cov-4","coronaviridae",0,"Artibeus jamaicensis-coronaviridae"
"Artibeus jamaicensis-coronavirus mex_cov-5a","Artibeus jamaicensis","coronavirus mex_cov-5a","coronaviridae",0,"Artibeus jamaicensis-coronaviridae"
"Artibeus jamaicensis-coronavirus mex_cov-5b","Artibeus jamaicensis","coronavirus mex_cov-5b","coronaviridae",0,"Artibeus jamaicensis-coronaviridae"
"Artibeus lituratus-coronavirus mex_cov-11a","Artibeus lituratus","coronavirus mex_cov-11a","coronaviridae",0,"Artibeus lituratus-coronaviridae"
"Artibeus lituratus-coronavirus mex_cov-5b","Artibeus lituratus","coronavirus mex_cov-5b","coronaviridae",0,"Artibeus lituratus-coronaviridae"
"Artibeus lituratus-coronavirus predict cov-15","Artibeus lituratus","coronavirus predict cov-15","coronaviridae",0,"Artibeus lituratus-coronaviridae"
"Artibeus lituratus-paramyxovirus predict_pmv-45","Artibeus lituratus","paramyxovirus predict_pmv-45","paramyxoviridae",0,"Artibeus lituratus-paramyxoviridae"
"Artibeus obscurus-adenovirus predict_adv-13","Artibeus obscurus","adenovirus predict_adv-13","adenoviridae",0,"Artibeus obscurus-adenoviridae"
"Artibeus obscurus-coronavirus predict cov-11","Artibeus obscurus","coronavirus predict cov-11","coronaviridae",0,"Artibeus obscurus-coronaviridae"
"Artibeus obscurus-influenza a virus","Artibeus obscurus","influenza a virus","orthomyxoviridae",1,"Artibeus obscurus-orthomyxoviridae"
"Artibeus obscurus-juquitiba virus","Artibeus obscurus","juquitiba virus","hantaviridae",1,"Artibeus obscurus-hantaviridae"
"Artibeus planirostris-coronavirus predict cov-4","Artibeus planirostris","coronavirus predict cov-4","coronaviridae",0,"Artibeus planirostris-coronaviridae"
"Aselliscus stoliczkanus-bat coronavirus hku10","Aselliscus stoliczkanus","bat coronavirus hku10","coronaviridae",0,"Aselliscus stoliczkanus-coronaviridae"
"Aselliscus stoliczkanus-rhinolophus bat coronavirus hku2","Aselliscus stoliczkanus","rhinolophus bat coronavirus hku2","coronaviridae",0,"Aselliscus stoliczkanus-coronaviridae"
"Bauerus dubiaquercus-coronavirus mex_cov-1","Bauerus dubiaquercus","coronavirus mex_cov-1","coronaviridae",0,"Bauerus dubiaquercus-coronaviridae"
"Bauerus dubiaquercus-coronavirus mex_cov-5a","Bauerus dubiaquercus","coronavirus mex_cov-5a","coronaviridae",0,"Bauerus dubiaquercus-coronaviridae"
"Carollia perspicillata-adenovirus predict_adv-13","Carollia perspicillata","adenovirus predict_adv-13","adenoviridae",0,"Carollia perspicillata-adenoviridae"
"Carollia perspicillata-adenovirus predict_adv-16","Carollia perspicillata","adenovirus predict_adv-16","adenoviridae",0,"Carollia perspicillata-adenoviridae"
"Carollia perspicillata-alphacoronavirus trinidad/1fy2ba/2007","Carollia perspicillata","alphacoronavirus trinidad/1fy2ba/2007","coronaviridae",0,"Carollia perspicillata-coronaviridae"
