ncbi.name,pathogenid,taxid,baltimore,order,family,genus,rna,rt,double_stranded,negative_sense,positive_sense,enveloped,circular,segmented,cytoplasm,size_MB,size_KB,CDS,GC,max_bread,max_bread_nh,tip
acerodon celebensis polyomavirus 1,26205236,1891717,group i,na,polyomaviridae,alphapolyomavirus,0,0,1,0,0,0,1,0,0,0.00504,5.04,4,41.8,0,0,Acerodon_celebensis_polyomavirus_1
acerodon celebensis polyomavirus 2,26205240,1891757,group i,na,polyomaviridae,betapolyomavirus,0,0,1,0,0,0,1,0,0,0.005019,5.019,4,40.7,0,0,Acerodon_celebensis_polyomavirus_2
achimota pararubulavirus 1,27250094,2560259,group v,mononegavirales,paramyxoviridae,pararubulavirus,1,0,0,1,0,1,0,0,1,0.015624,15.624,8,40,0,0,Achimota_pararubulavirus_1
achimota pararubulavirus 2,27250096,2560260,group v,mononegavirales,paramyxoviridae,pararubulavirus,1,0,0,1,0,1,0,0,1,0.015504,15.504,8,42.1,0,0,Achimota_pararubulavirus_2
adelaide river ephemerovirus,3446981,1972589,group v,mononegavirales,rhabdoviridae,ephemerovirus,1,0,0,1,0,1,0,0,1,0.014627,14.627,9,33,33.8,33.8,Adelaide_River_ephemerovirus
adeno-associated dependoparvovirus a,26552295,1511891,group ii,na,parvoviridae,dependoparvovirus,0,0,0,0,1,0,0,0,0,0.004718,4.718,2,56.5,186.8,186.8,Adeno-associated_dependoparvovirus_A
adeno-associated dependoparvovirus b,26552297,1511892,group ii,na,parvoviridae,dependoparvovirus,0,0,0,0,1,0,0,0,0,0.004642,4.642,2,55.1,186.8,45,Adeno-associated_dependoparvovirus_B
adeno-associated virus,3736135,272636,group ii,na,parvoviridae,dependoparvovirus,0,0,0,0,1,0,0,0,0,0.004857,4.857,2,51.2,186.8,186.8,Adeno-associated_virus
adler hantavirus,26302996,1578833,group v,bunyavirales,hantaviridae,orthohantavirus,1,0,0,1,0,1,0,1,1,0.009517294,9.517294118,3,38.464,0,0,Adler_hantavirus
african elephant endotheliolytic herpesvirus,3549764,91462,group i,herpesvirales,herpesviridae,herpesviridae,0,0,1,0,0,1,0,0,0,0.150500516,150.5005156,63,55.8906,19,19,African_elephant_endotheliolytic_herpesvirus
african green monkey polyomavirus,3437738,12480,group i,na,polyomaviridae,polyomaviridae,0,0,1,0,0,0,1,0,0,0.00527,5.27,5,40.9,7.4,7.4,African_green_monkey_polyomavirus
african green monkey simian foamy virus,3792643,338079,group vi,ortervirales,retroviridae,spumavirus,1,1,0,0,1,1,0,0,0,0.0129685,12.9685,5,39.4,0,0,African_green_monkey_simian_foamy_virus
african horse sickness virus,3460146,40050,group iii,na,reoviridae,orbivirus,1,0,1,0,0,0,0,1,1,0.019524,19.524,11,42.7036,167.6,167.6,African_horse_sickness_virus
african swine fever virus,3435001,10497,group i,na,asfarviridae,asfivirus,0,0,1,0,0,1,1,0,1,0.170101,170.101,152,38.9,31.2,31.2,African_swine_fever_virus
aichivirus a,3515363,72149,group iv,picornavirales,picornaviridae,kobuvirus,1,0,0,0,1,0,0,0,1,0.0082655,8.2655,1,58.95,186.8,121,Aichivirus_A
aichivirus b,3665716,194965,group iv,picornavirales,picornaviridae,kobuvirus,1,0,0,0,1,0,0,0,1,0.008374,8.374,1,54.6,45,45,Aichivirus_B
