pathogenid,Name,abs,classified,TID,B,O,F,G,G_abb
27445706,balaenoptera physalus alphaherpesvirus,balaenoptera physalus alphaherpesvirus,0,1758211,group i,herpesvirales,herpesviridae,alphaherpesvirinae,AlphaHPS
26745927,beluga whale alphaherpesvirus 1,beluga whale alphaherpesvirus 1,0,1434720,group i,herpesvirales,herpesviridae,alphaherpesvirinae,AlphaHPS
3577573,bottlenose dolphin herpesvirus,Bottlenose dolphin herpesvirus,1,107323,group i,herpesvirales,herpesviridae,alphaherpesvirinae,AlphaHPS
4054284,delphinid herpesvirus 2,Delphinid herpesvirus 2,1,672018,group i,herpesvirales,herpesviridae,alphaherpesvirinae,AlphaHPS
4054285,delphinid herpesvirus 8,Delphinid herpesvirus 8,1,672019,group i,herpesvirales,herpesviridae,alphaherpesvirinae,AlphaHPS
27445738,delphinus delphis alphaherpesvirus,delphinus delphis alphaherpesvirus,0,1758214,group i,herpesvirales,herpesviridae,alphaherpesvirinae,AlphaHPS
4040840,false killer whale alphaherpesvirus,false killer whale alphaherpesvirus,0,655486,group i,herpesvirales,herpesviridae,alphaherpesvirinae,AlphaHPS
27688973,grampus griseus alphaherpesvirus,grampus griseus alphaherpesvirus,0,1758215,group i,herpesvirales,herpesviridae,alphaherpesvirinae,AlphaHPS
27246142,lagenorhynchus alphaherpesvirus 1,lagenorhynchus alphaherpesvirus 1,0,1232896,group i,herpesvirales,herpesviridae,alphaherpesvirinae,AlphaHPS
27483739,marten alphaherpesvirus,Marten alphaherpesvirus,1,1834529,group i,herpesvirales,herpesviridae,alphaherpesvirinae,AlphaHPS
4040841,melon-headed whale alphaherpesvirus,melon-headed whale alphaherpesvirus,0,655487,group i,herpesvirales,herpesviridae,alphaherpesvirinae,AlphaHPS
26745993,phocoena phocoena herpesvirus type 2,phocoena phocoena herpesvirus type 2,0,1809460,group i,herpesvirales,herpesviridae,alphaherpesvirinae,AlphaHPS
26745991,phocoena phocoena herpesvirus type 3,phocoena phocoena herpesvirus type 3,0,1809459,group i,herpesvirales,herpesviridae,alphaherpesvirinae,AlphaHPS
27688975,stenella coeruleoalba alphaherpesvirus 1,stenella coeruleoalba alphaherpesvirus 1,0,1758216,group i,herpesvirales,herpesviridae,alphaherpesvirinae,AlphaHPS
27688977,stenella coeruleoalba alphaherpesvirus 2,stenella coeruleoalba alphaherpesvirus 2,0,1758217,group i,herpesvirales,herpesviridae,alphaherpesvirinae,AlphaHPS
3750466,tursiops truncatus alphaherpesvirus 1,tursiops truncatus alphaherpesvirus 1,0,291829,group i,herpesvirales,herpesviridae,alphaherpesvirinae,AlphaHPS
3812364,tursiops truncatus alphaherpesvirus 2,tursiops truncatus alphaherpesvirus 2,0,360198,group i,herpesvirales,herpesviridae,alphaherpesvirinae,AlphaHPS
3812365,tursiops truncatus alphaherpesvirus 3,tursiops truncatus alphaherpesvirus 3,0,360199,group i,herpesvirales,herpesviridae,alphaherpesvirinae,AlphaHPS
27688979,ziphius cavirostris alphaherpesvirus 1,ziphius cavirostris alphaherpesvirus 1,0,1758218,group i,herpesvirales,herpesviridae,alphaherpesvirinae,AlphaHPS
27445713,ziphius cavirostris alphaherpesvirus 2,ziphius cavirostris alphaherpesvirus 2,0,1758212,group i,herpesvirales,herpesviridae,alphaherpesvirinae,AlphaHPS
3455201,atypical cytopathic virus,atypical cytopathic virus,0,37140,group i,herpesvirales,herpesviridae,betaherpesvirinae,BetaHPS
4051168,bat betaherpesvirus 2,BatBHV-2,1,668548,group i,herpesvirales,herpesviridae,betaherpesvirinae,BetaHPS
27253618,capreolus herpesvirus 1,capreolus herpesvirus 1,0,1273575,group i,herpesvirales,herpesviridae,betaherpesvirinae,BetaHPS
3449617,caviid betaherpesvirus 2,CaHV-2,1,33706,group i,herpesvirales,herpesviridae,betaherpesvirinae,BetaHPS
27271396,eptesicus isabellinus betaherpesvirus 1,EpiCMV1,0,1325383,group i,herpesvirales,herpesviridae,betaherpesvirinae,BetaHPS
27271398,eptesicus isabellinus betaherpesvirus 2,EpiCMV2,0,1325384,group i,herpesvirales,herpesviridae,betaherpesvirinae,BetaHPS
27741051,eptesicus serotinus betaherpesvirus 1,eptesicus serotinus betaherpesvirus 1,0,1325385,group i,herpesvirales,herpesviridae,betaherpesvirinae,BetaHPS
27271400,hypsugo savii betaherpesvirus 1,hypsugo savii betaherpesvirus 1,0,1325386,group i,herpesvirales,herpesviridae,betaherpesvirinae,BetaHPS
3619539,mandrillus betaherpesvirus,mandrillus betaherpesvirus,0,144210,group i,herpesvirales,herpesviridae,betaherpesvirinae,BetaHPS
27708927,marten betaherpesvirus,marten betaherpesvirus,0,1834535,group i,herpesvirales,herpesviridae,betaherpesvirinae,BetaHPS
3863693,miniopterus schreibersii betaherpesvirus 2,miniopterus schreibersii betaherpesvirus 2,0,416614,group i,herpesvirales,herpesviridae,betaherpesvirinae,BetaHPS
27764677,miniopterus schreibersii betaherpesvirus 3,miniopterus schreibersii betaherpesvirus 3,0,1325387,group i,herpesvirales,herpesviridae,betaherpesvirinae,BetaHPS
27414256,myotis alcathoe betaherpesvirus 1,myotis alcathoe betaherpesvirus 1,0,1732025,group i,herpesvirales,herpesviridae,betaherpesvirinae,BetaHPS
27764681,myotis bechsteinii betaherpesvirus 1,myotis bechsteinii betaherpesvirus 1,0,1325388,group i,herpesvirales,herpesviridae,betaherpesvirinae,BetaHPS
27541019,myotis daubentonii betaherpesvirus 1,myotis daubentonii betaherpesvirus 1,0,1325389,group i,herpesvirales,herpesviridae,betaherpesvirinae,BetaHPS
27541021,myotis emarginatus betaherpesvirus 1,myotis emarginatus betaherpesvirus 1,0,1325390,group i,herpesvirales,herpesviridae,betaherpesvirinae,BetaHPS
27385156,myotis myotis betaherpesvirus 1,myotis myotis betaherpesvirus 1,0,1653058,group i,herpesvirales,herpesviridae,betaherpesvirinae,BetaHPS
