pathogenid,CE_clathrin,CE_receptor,ce_glycoprotiens,ce_other
27445706,0,1,0,0
26745927,0,1,0,0
3577573,0,1,0,0
4054284,0,1,0,0
4054285,0,1,0,0
27445738,0,1,0,0
4040840,0,1,0,0
27688973,0,1,0,0
27246142,0,1,0,0
27483739,0,1,0,0
4040841,0,1,0,0
26745993,0,1,0,0
26745991,0,1,0,0
27688975,0,1,0,0
27688977,0,1,0,0
3750466,0,1,0,0
3812364,0,1,0,0
3812365,0,1,0,0
27688979,0,1,0,0
27445713,0,1,0,0
3455201,0,0,1,0
4051168,0,0,1,0
27253618,0,0,1,0
3449617,0,0,1,0
27271396,0,0,1,0
27271398,0,0,1,0
27741051,0,0,1,0
27271400,0,0,1,0
3619539,0,0,1,0
27708927,0,0,1,0
3863693,0,0,1,0
27764677,0,0,1,0
27414256,0,0,1,0
27764681,0,0,1,0
27541019,0,0,1,0
27541021,0,0,1,0
27385156,0,0,1,0
27271402,0,0,1,0
27271404,0,0,1,0
27271406,0,0,1,0
27764685,0,0,1,0
3750469,0,0,1,0
27541023,0,0,1,0
27764707,0,0,1,0
27541025,0,0,1,0
27741053,0,0,1,0
27271408,0,0,1,0
27741055,0,0,1,0
27271410,0,0,1,0
27741057,0,0,1,0
27764711,0,0,1,0
27764713,0,0,1,0
4250817,0,0,1,0
4250818,0,0,1,0
4250819,0,0,1,0
4250820,0,0,1,0
4250821,0,0,1,0
4250822,0,0,1,0
4250823,0,0,1,0
27541027,0,0,1,0
27541029,0,0,1,0
3477913,0,0,1,0
3877219,0,0,1,0
3877220,0,0,1,0
3899503,0,0,1,0
3877221,0,0,1,0
3877222,0,0,1,0
3597999,0,0,1,0
3877223,0,0,1,0
3877224,0,0,1,0
3877225,0,0,1,0
3877226,0,0,1,0
3750460,0,0,1,0
3477917,0,0,1,0
3765565,0,0,1,0
27495294,0,0,1,0
3673428,0,0,1,0
3673430,0,0,1,0
3765566,0,0,1,0
26205614,0,0,1,0
3434804,0,0,1,0
3765562,0,0,1,0
3434829,0,0,1,0
3473948,0,0,1,0
3619538,0,0,1,0
3877227,0,0,1,0
3877228,0,0,1,0
3899163,0,0,1,0
4104791,0,0,1,0
3899501,0,0,1,0
3877229,0,0,1,0
3660176,0,0,1,0
3698419,0,0,1,0
3673429,0,0,1,0
3877230,0,0,1,0
3877231,0,0,1,0
3877232,0,0,1,0
3610481,0,0,1,0
3434812,0,0,1,0
4030896,0,0,1,0
3648128,0,0,1,0
3682072,0,0,1,0
3682077,0,0,1,0
3682078,0,0,1,0
27688969,0,0,1,0
27688971,0,0,1,0
26205184,0,0,1,0
27708917,0,0,1,0
3511464,0,0,1,0
26747639,0,0,1,0
