pathogenid,direct,direct_sexual,direct_vertical,indirect,fecal_oral,ingestion,inhalation,environment,vector,name
2211153,1,0,0,0,1,1,1,0,0,artibeus lituratus adenovirus
2301493,1,0,0,0,1,1,1,0,0,black lemur adenovirus 1
2301494,1,0,0,0,1,1,1,0,0,black lemur adenovirus 2
2301495,1,0,0,0,1,1,1,0,0,black lemur adenovirus 3
2301496,1,0,0,0,1,1,1,0,0,black-and-white ruffed lemur adenovirus
3607027,1,0,0,0,1,1,1,0,0,bovine adenovirus e
27589153,1,0,0,0,1,1,1,0,0,brown long-eared bat adenovirus 1
2259112,1,0,0,0,1,1,1,0,0,california sea lion adenovirus
1916691,1,0,0,0,1,1,1,0,0,cercopithecus campbelli adenovirus
1916692,1,0,0,0,1,1,1,0,0,cercopithecus diana adenovirus
1916693,1,0,0,0,1,1,1,0,0,chlorocebus sabaeus adenovirus
1916694,1,0,0,0,1,1,1,0,0,colobus guereza adenovirus
2301497,1,0,0,0,1,1,1,0,0,common marmoset adenovirus
27589155,1,0,0,0,1,1,1,0,0,common noctule adenovirus 1
27309390,1,0,0,0,1,1,1,0,0,common noctule adenovirus 2
27309392,1,0,0,0,1,1,1,0,0,common noctule adenovirus 3
27309394,1,0,0,0,1,1,1,0,0,common pipistrelle adenovirus 2
27589141,1,0,0,0,1,1,1,0,0,common pipistrelle adenovirus 3
27589143,1,0,0,0,1,1,1,0,0,common pipistrelle adenovirus 4
2301498,1,0,0,0,1,1,1,0,0,common squirell monkey adenovirus 1
2301499,1,0,0,0,1,1,1,0,0,common squirell monkey adenovirus 2
2301500,1,0,0,0,1,1,1,0,0,common squirell monkey adenovirus 3
2301501,1,0,0,0,1,1,1,0,0,cotton-top tamarin adenovirus
2301502,1,0,0,0,1,1,1,0,0,crowned lemur adenovirus
26745933,1,0,0,0,1,1,1,0,0,dolphin adenovirus 1
2301503,1,0,0,0,1,1,1,0,0,eastern lesser bamboo lemur adenovirus
27786484,1,0,0,0,1,1,1,0,0,eidolon helvum adenovirus 1
27786486,1,0,0,0,1,1,1,0,0,eidolon helvum adenovirus 2
27744671,1,0,0,0,1,1,1,0,0,eidolon helvum adenovirus 3
1916695,1,0,0,0,1,1,1,0,0,erythrocebus patas adenovirus
2067749,1,0,0,0,1,1,1,0,0,felis catus adenovirus
27589145,1,0,0,0,1,1,1,0,0,geoffroy's bat adenovirus 1
